Rk,Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
1,José Abreu\abreujo02,8,2014,2021,3,971,4215,3827,531,1122,234,14,200,680,11,5,269,850,.293,.350,.518,.868,24.67,Jan 29 1987,Mar 31 2014,Cienfuegos Cienfuegos,*3D/H
2,José Acosta\acostjo01,3,1920,1922,0,55,75,60,4,9,1,0,0,1,1,0,11,22,.150,.282,.167,.448,1.96,Mar 4 1891,Jul 28 1920,La Habana La Habana,1
3,Merito Acosta\acostme01,5,1913,1918,0,180,525,436,56,111,9,7,0,37,17,8,63,46,.255,.354,.307,.661,0.67,May 19 1896,Jun 5 1913,Bauta Artemisa,97H/8
4,Rafael Almeida\almeira01,3,1911,1913,0,102,324,285,32,77,13,6,3,46,7,5,25,40,.270,.335,.389,.725,1.00,Jun 30 1887,Jul 4 1911,La Habana La Habana,5/H864
5,Luis Aloma\alomalu01,4,1950,1953,0,116,51,48,2,8,1,0,0,3,0,0,1,17,.167,.184,.188,.371,4.52,Jun 19 1923,Apr 19 1950,La Habana La Habana,1
6,Yonder Alonso\alonsyo01,10,2010,2019,1,1072,3773,3362,391,872,181,2,100,426,22,8,366,648,.259,.332,.404,.736,8.02,Apr 8 1987,Sep 1 2010,La Habana La Habana,*3HD/754
7,Dariel Álvarez\alvarda02,2,2015,2016,0,14,35,32,3,8,2,0,1,1,0,0,3,8,.250,.314,.406,.721,0.10,Nov 7 1988,Aug 28 2015,Camaguey,/98H
8,Ossie Alvarez\alvaros01,2,1958,1959,0,95,219,198,20,42,3,0,0,5,1,1,16,27,.212,.271,.227,.498,-0.53,Oct 19 1933,Apr 19 1958,Bolondron Matanzas,6/H45
9,Rogelio Alvarez\alvarro01,2,1960,1962,0,17,38,37,2,7,0,0,0,2,0,0,1,13,.189,.211,.189,.400,-0.48,Apr 18 1938,Sep 18 1960,Pinar del Rio Pinar del Rio,/3H
10,Yordan Álvarez\alvaryo01,3,2019,2021,0,99,423,363,66,111,30,0,30,90,0,0,53,107,.306,.397,.636,1.034,3.93,Jun 27 1997,Jun 9 2019,Las Tunas,D/7H
11,Vicente Amor\amorvi01,2,1955,1957,0,13,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-0.10,Aug 8 1932,Apr 16 1955,La Habana La Habana,/1
12,Sandy Amoros\amorosa01,7,1952,1960,0,517,1561,1311,215,334,55,23,43,180,18,15,211,189,.255,.361,.430,.791,7.37,Jan 30 1930,Aug 22 1952,Matanzas Matanzas,*7H8/9
13,Angel Aragón\aragoan01,3,1914,1917,0,32,87,76,4,9,1,0,0,5,2,0,5,6,.118,.183,.132,.315,-0.76,Aug 2 1890,Aug 20 1914,La Habana La Habana,/5H7869
14,Jack Aragon\aragoja01,1,1941,1941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.00,Nov 20 1915,Aug 13 1941,La Habana La Habana,/H
15,Jose Arcia\arciajo01,3,1968,1970,0,293,662,615,78,132,24,6,1,35,17,13,29,107,.215,.260,.278,.538,-3.60,Aug 22 1943,Apr 10 1968,La Habana La Habana,64H/5783
16,Rudy Arias\ariasru01,1,1959,1959,0,34,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.20,Jun 6 1931,Apr 10 1959,Las Villas,1
17,Rogelio Armenteros\armenro01,1,2019,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.10,Jun 30 1994,Jun 14 2019,La Habana La Habana,/1
18,René Arocha\arochre01,4,1993,1997,0,124,82,69,3,7,2,0,0,3,0,0,3,31,.101,.139,.130,.269,1.34,Feb 24 1964,Apr 9 1993,La Habana La Habana,1
19,Randy Arozarena\arozara01,3,2019,2021,0,51,140,122,24,35,4,0,10,18,7,1,10,40,.287,.371,.566,.937,1.29,Feb 28 1995,Aug 14 2019,La Habana La Habana,/97H8D
20,Rolando Arrojo\arrojro01,5,1998,2002,1,24,42,37,2,3,1,0,0,3,0,0,1,20,.081,.105,.108,.213,9.37,Jul 18 1965,Apr 1 1998,Santa Clara Villa Clara,1
21,Erisbel Arruebarrena\arrueba01,1,2014,2014,0,22,45,41,4,8,1,0,0,4,0,0,3,17,.195,.244,.220,.464,-0.39,Mar 25 1990,May 23 2014,Cienfuegos Cienfuegos,/6H
22,Joe Azcue\azcuejo01,11,1960,1972,1,909,3095,2828,201,712,94,9,50,304,5,12,207,344,.252,.304,.344,.648,8.57,Aug 18 1939,Aug 3 1960,Cienfuegos Cienfuegos,*2H
23,Danys Báez\baezda01,10,2001,2011,1,152,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,5.78,Sep 10 1977,May 13 2001,Pinar del Rio Pinar del Rio,*1
24,Michel Báez\baezmi01,2,2019,2020,0,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.49,Jan 21 1996,Jul 23 2019,La Habana La Habana,/1
25,Ed Bauta\bautaed01,5,1960,1964,0,97,18,17,0,3,0,0,0,0,0,0,0,4,.176,.176,.176,.353,0.60,Jan 6 1935,Jul 6 1960,Florida,1
26,Julio Becquer\becquju01,7,1955,1963,0,488,1029,974,100,238,37,16,12,114,8,11,41,120,.244,.276,.352,.628,-2.82,Dec 20 1931,Sep 13 1955,La Habana La Habana,H3/719
27,Steve Bellan\bellast01,3,1871,1873,0,60,286,275,52,69,9,3,0,43,5,4,11,2,.251,.280,.305,.585,-0.47,Oct 1 1849,May 9 1871,La Habana La Habana,5/6O4
28,Yuniesky Betancourt\betanyu01,9,2005,2013,0,1156,4278,4052,437,1057,218,29,80,457,30,30,143,435,.261,.285,.388,.673,-2.35,Jan 31 1982,Jul 28 2005,Santa Clara Villa Clara,*6354H/7D
29,Ronald Bolanos\bolanro01,2,2019,2020,0,5,5,5,1,0,0,0,0,1,0,0,0,4,.000,.000,.000,.000,-0.50,Aug 23 1996,Sep 3 2019,Santa Cruz del Norte Mayabeque,/1
30,Francisley Bueno\buenofr01,4,2008,2014,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.17,Mar 5 1981,Aug 13 2008,La Habana La Habana,1
31,Jack Calvo\calvoja01,2,1913,1920,0,34,65,56,10,9,0,1,1,4,0,0,3,6,.161,.203,.250,.453,-0.90,Jun 11 1894,May 9 1913,La Habana La Habana,/H798
