Rk,Name,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WAR,Birthdate,Debut,Birthplace
1,José Acosta\acostjo01,3,1920,1922,0,10,10,.500,4.51,55,13,28,6,1,4,213.1,265,119,107,9,68,,45,0,0,4,933,2.02,Mar 4 1891,Jul 28 1920,La Habana La Habana
2,Luis Aloma\alomalu01,4,1950,1953,0,18,3,.857,3.44,116,1,55,1,1,15,235.1,212,98,90,21,111,20,115,4,2,5,1001,4.72,Jun 19 1923,Apr 19 1950,La Habana La Habana
3,Vicente Amor\amorvi01,2,1955,1957,0,1,3,.250,5.67,13,4,5,1,0,0,33.1,50,22,21,2,13,2,12,2,1,1,161,-0.14,Aug 8 1932,Apr 16 1955,La Habana La Habana
4,Rudy Arias\ariasru01,1,1959,1959,0,2,0,1.000,4.09,34,0,13,0,0,2,44.0,49,23,20,7,20,7,28,1,0,0,200,-0.14,Jun 6 1931,Apr 10 1959,Las Villas
5,Rogelio Armenteros\armenro01,1,2019,2019,0,1,1,.500,4.00,5,2,2,0,0,1,18.0,17,9,8,1,5,0,18,0,0,0,75,0.10,Jun 30 1994,Jun 14 2019,La Habana La Habana
6,René Arocha\arochre01,4,1993,1997,0,18,17,.514,4.11,124,36,40,2,1,11,331.0,363,169,151,37,75,12,190,11,1,7,1404,1.44,Feb 24 1964,Apr 9 1993,La Habana La Habana
7,Rolando Arrojo\arrojro01,5,1998,2002,1,40,42,.488,4.55,158,105,15,4,2,6,700.0,715,377,354,83,255,15,512,67,3,13,3040,9.76,Jul 18 1965,Apr 1 1998,Santa Clara Villa Clara
8,Danys Báez\baezda01,10,2001,2011,1,40,57,.412,4.25,533,26,279,1,0,114,697.0,652,366,329,71,288,28,505,50,3,24,3013,5.78,Sep 10 1977,May 13 2001,Pinar del Rio Pinar del Rio
9,Michel Báez\baezmi01,2,2019,2020,0,1,1,.500,3.67,27,2,9,0,0,0,34.1,32,14,14,3,16,2,35,3,2,1,154,0.49,Jan 21 1996,Jul 23 2019,La Habana La Habana
10,Ed Bauta\bautaed01,5,1960,1964,0,6,6,.500,4.35,97,0,45,0,0,11,149.0,148,77,72,14,70,8,89,4,3,6,649,0.59,Jan 6 1935,Jul 6 1960,Florida
11,Julio Becquer\becquju01,7,1955,1963,0,0,0,,15.43,2,0,2,0,0,0,2.1,5,4,4,1,1,0,0,0,0,0,13,-0.11,Dec 20 1931,Sep 13 1955,La Habana La Habana
12,Ronald Bolanos\bolanro01,2,2019,2020,0,0,4,.000,6.94,7,5,0,0,0,0,23.1,25,20,18,5,15,0,21,2,0,3,109,-0.43,Aug 23 1996,Sep 3 2019,Santa Cruz del Norte Mayabeque
13,Francisley Bueno\buenofr01,4,2008,2014,0,2,1,.667,2.98,56,0,14,0,0,0,60.1,61,22,20,4,12,4,33,2,1,1,255,1.17,Mar 5 1981,Aug 13 2008,La Habana La Habana
14,Bert Campaneris\campabe01,19,1964,1983,6,0,0,,9.00,1,0,0,0,0,0,1.0,1,1,1,0,2,0,1,0,0,0,5,-0.05,Mar 9 1942,Jul 23 1964,Pueblo Nuevo
15,Jose Canseco\cansejo01,17,1985,2001,6,0,0,,27.00,1,0,1,0,0,0,1.0,2,3,3,0,3,0,0,0,0,0,8,-0.09,Jul 2 1964,Sep 2 1985,La Habana La Habana
16,Alberto Castillo\castial02,4,2008,2011,0,3,0,1.000,4.33,79,0,19,0,0,0,60.1,65,30,29,8,27,1,48,9,0,2,271,0.65,Jul 5 1975,Apr 28 2008,La Habana La Habana
17,Aroldis Chapman\chapmar01,12,2010,2021,6,35,27,.565,2.24,567,0,421,0,0,277,551.1,308,150,137,29,253,3,916,26,2,55,2211,18.07,Feb 28 1988,Aug 31 2010,Holguin Holguin
